iter	MultiClass	TotalF1	Accuracy
357	0.9189100689	0.5589758386	0.5655603891
358	0.9188997154	0.5589839887	0.5655639555
359	0.9188977335	0.5589854081	0.5655675219
360	0.9188930185	0.5590052465	0.5655862457
361	0.9188874501	0.5590138656	0.565592487
362	0.9188836628	0.5590332237	0.5656049695
363	0.9188809823	0.5590347478	0.5656121023
364	0.918877489	0.5590369071	0.5656121023
365	0.9188734651	0.5590415302	0.5656156688
366	0.9188702163	0.5590210978	0.5655942702
367	0.9188651325	0.5590342641	0.5656049695
368	0.9188588976	0.5590491233	0.5656129939
369	0.9188519685	0.5590492726	0.5656112107
370	0.918848181	0.5590601887	0.5656183436
371	0.9188453073	0.5590677072	0.5656228016
372	0.918842209	0.5590764629	0.5656272597
373	0.9188369535	0.5590770387	0.5656343925
374	0.9188356943	0.5590631847	0.5656192352
375	0.9188310972	0.5590664551	0.56562191
376	0.9188294669	0.5590575944	0.5656121023
377	0.9188250754	0.5590499613	0.5656094275
378	0.9188196817	0.5590529415	0.5656085359
379	0.9188170476	0.5590336435	0.5655907037
380	0.9188143062	0.5590468971	0.5656022946
381	0.9188062629	0.5590672372	0.565617452
382	0.918804548	0.5590557833	0.5656121023
383	0.9188017476	0.5590651575	0.5656183436
384	0.9187967696	0.5590518844	0.5656112107
385	0.9187929408	0.5590575686	0.565617452
386	0.9187858238	0.5590691844	0.56562191
387	0.9187799636	0.5590810616	0.5656263681
388	0.9187725758	0.5590691912	0.5656103191
389	0.9187711191	0.5590663466	0.5656103191
390	0.9187682611	0.5590595212	0.5656103191
391	0.9187670411	0.559060323	0.5656094275
392	0.9187623446	0.5590504051	0.5655978366
393	0.9187603205	0.5590540717	0.5655978366
394	0.9187576159	0.5590379715	0.5655915953
395	0.9187539568	0.5590465887	0.565601403
396	0.9187478494	0.5590569284	0.5656085359
397	0.9187381653	0.5590513918	0.5656076443
398	0.918735162	0.5590759036	0.5656263681
399	0.9187281375	0.559079434	0.5656326093
400	0.9187203196	0.559077453	0.5656272597
401	0.9187184695	0.559067334	0.565617452
402	0.9187146411	0.5590797096	0.5656299345
403	0.9187067855	0.5590994897	0.5656486583
404	0.9186970001	0.5591403072	0.5656807562
405	0.9186916205	0.5591264584	0.5656700569
406	0.9186876399	0.5591249594	0.565667382
407	0.9186807371	0.5591363912	0.5656762981
408	0.918674317	0.5591591806	0.5656905638
409	0.9186723025	0.5591581923	0.5656861058
410	0.918668601	0.5591694854	0.5656968051
411	0.9186658362	0.5591715058	0.5656994799
412	0.9186620697	0.5591927885	0.5657155289
413	0.9186520662	0.5592158427	0.5657413855
414	0.9186453549	0.559222352	0.5657369275
415	0.9186392034	0.5592045033	0.565724445
416	0.9186354961	0.5592225375	0.5657324694
417	0.9186328301	0.5592131221	0.565724445
418	0.9186310725	0.5592138899	0.5657253366
